,UniProtID,jnetprope,jnetproph,jnetpropc
0,Q8TBB1_181,0.1311,0.0896,0.7953
1,Q06481_752,0.10414999999999999,0.2148,0.7072999999999999
2,P05556_780,0.122775,0.089525,0.795275
3,P05107_763,0.1676,0.036375000000000005,0.7733
4,P01130_825,0.134725,0.08335000000000001,0.795375
5,P05556_792,0.1676,0.036375000000000005,0.7733
6,P51693_640,0.17070000000000002,0.0518,0.761675
7,P05106_770,0.11437499999999999,0.095675,0.8008
8,Q14114_863,0.1311,0.0896,0.7953
9,O00522_231,0.0354,0.7301749999999999,0.27475
10,Q9NY15_2539,0.13137500000000002,0.072975,0.8086250000000001
11,P98155_834,0.13927499999999998,0.0775,0.792
12,Q07954_4504,0.0758,0.6381749999999999,0.2969
13,P98164_4523,0.14545,0.07147500000000001,0.791825
14,P05067_759,0.068775,0.36695,0.60235
15,Q9HCE7_457,0.051775,0.16720000000000002,0.792575
16,Q07954_4470,0.14305,0.06665,0.8008749999999999
17,P98164_4595,0.133,0.065025,0.811175
